industry_id,display_name_cn,sw_code,board_name,board_code,board_rank,board_pct_change,board_leader,stock_code,stock_name,latest_price,pct_change,turnover_amount,turnover_rate,representative_score,is_board_leader,candidate_rank
sw_l1_801790,非银金融,801790.SI,非银金融,BK1203,297,-1.75,四川双马,601688,华泰证券,17.72,-2.64,1265000338.0,0.97,0.824684,False,3
sw_l1_801790,非银金融,801790.SI,非银金融,BK1203,297,-1.75,四川双马,601336,新华保险,60.65,-2.77,1134047880.0,0.89,0.814557,False,4
sw_l1_801790,非银金融,801790.SI,非银金融,BK1203,297,-1.75,四川双马,000987,越秀资本,8.17,-5.33,673081332.74,1.62,0.798734,False,5
sw_l1_801230,综合,801230.SI,综合,BK1217,114,-0.56,漳州发展,000753,漳州发展,7.32,3.54,555196246.92,7.73,0.910526,True,1
sw_l1_801230,综合,801230.SI,综合,BK1217,114,-0.56,漳州发展,600673,东阳光,29.87,-4.87,1319079928.0,1.45,0.852632,False,2
sw_l1_801230,综合,801230.SI,综合,BK1217,114,-0.56,漳州发展,000632,三木集团,4.89,3.16,413121381.73,17.93,0.778947,False,3
sw_l1_801230,综合,801230.SI,综合,BK1217,114,-0.56,漳州发展,000833,粤桂股份,25.17,0.48,1091935285.82,9.44,0.773684,False,4
sw_l1_801230,综合,801230.SI,综合,BK1217,114,-0.56,漳州发展,600682,南京新百,7.32,3.1,411141866.0,4.84,0.721053,False,5
sw_l1_801710,建筑材料,801710.SI,建筑材料,BK1208,311,-1.82,濮耐股份,603256,宏和科技,68.36,-6.27,1722129630.0,2.86,0.876,False,1
sw_l1_801710,建筑材料,801710.SI,建筑材料,BK1208,311,-1.82,濮耐股份,301526,国际复材,11.33,-4.23,1302285512.07,8.1,0.87,False,2
sw_l1_801710,建筑材料,801710.SI,建筑材料,BK1208,311,-1.82,濮耐股份,601112,振石股份,19.25,-4.23,406428577.0,11.84,0.826,False,3
sw_l1_801710,建筑材料,801710.SI,建筑材料,BK1208,311,-1.82,濮耐股份,605006,山东玻纤,9.48,-1.96,506094535.0,9.05,0.817333,False,4
sw_l1_801710,建筑材料,801710.SI,建筑材料,BK1208,311,-1.82,濮耐股份,002080,中材科技,39.52,-4.01,1064259159.07,1.59,0.814667,False,5
sw_l1_801720,建筑装饰,801720.SI,建筑装饰,BK1209,283,-1.7,中工国际,002051,中工国际,9.91,9.99,864614895.42,7.31,0.945752,True,1
sw_l1_801720,建筑装饰,801720.SI,建筑装饰,BK1209,283,-1.7,中工国际,603601,再升科技,14.1,-5.18,4314743356.0,26.0,0.893464,False,2
sw_l1_801720,建筑装饰,801720.SI,建筑装饰,BK1209,283,-1.7,中工国际,000065,北方国际,15.17,4.12,1563798175.47,10.68,0.869935,False,3
